date,min,max,median,q1,q3,stdev,count
2020-09-07T00:00:00.000Z,0.2,3.28,0.7,0.47,0.93,0.411,432
2020-09-08T00:00:00.000Z,0.3,2.1,0.8,0.6,1.05,0.361,375
2020-09-09T00:00:00.000Z,0.1,3.75,2.02,1.1,2.54,0.95,407
2020-09-10T00:00:00.000Z,0.13,0.77,0.32,0.3,0.4,0.117,341
2020-09-11T00:00:00.000Z,0.27,3.3,0.9,0.59,1.3,0.599,308
2020-09-12T00:00:00.000Z,1.33,4.75,2.84,2.45,3.2,0.614,298
2020-09-13T00:00:00.000Z,0.7,4.18,1.9,1.35,2.29,0.632,359
2020-09-14T00:00:00.000Z,0.52,3.3,1.92,1.2,2.29,0.634,282
2020-09-15T00:00:00.000Z,1.8,6.8,3.3,2.8,3.91,0.971,252
2020-09-16T00:00:00.000Z,0.1,0.73,0.33,0.3,0.4,0.12,38
2020-09-17T00:00:00.000Z,0.2,1.1,0.5,0.4,0.6,0.178,155
2020-09-18T00:00:00.000Z,0.4,3.7,0.9,0.7,1.02,0.272,328
2020-09-19T00:00:00.000Z,0.35,2.8,0.83,0.68,1.1,0.412,315
2020-09-20T00:00:00.000Z,0.8,3.13,1.82,1.52,2.24,0.487,236
2020-09-21T00:00:00.000Z,1.23,3.12,1.98,1.67,2.22,0.395,223
2020-09-22T00:00:00.000Z,1.05,9.19,1.65,1.45,2.72,1.712,344
2020-09-23T00:00:00.000Z,3.47,26.8,7.55,4.67,9.53,5.003,449
2020-09-24T00:00:00.000Z,3.58,37.75,12.59,8.48,17.98,7.074,466
2020-09-25T00:00:00.000Z,1.14,10.63,2.95,2.12,3.58,1.54,345
2020-09-26T00:00:00.000Z,8.05,33.33,10.85,10.05,12.48,2.066,274
2020-09-27T00:00:00.000Z,5.37,18.8,12.75,11.03,16.46,3.623,228
2020-09-28T00:00:00.000Z,4.18,14.75,6.37,5.32,11.4,3.175,274
2020-09-29T00:00:00.000Z,1.52,10.02,3.62,2.92,4.62,1.399,263
